,store_id,dept_id,year,month,snap_WI,event_name_1,sales,sell_price,event_name_2,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,store_id_index,year_index,features
0,CA_1,FOODS_1,2011,1,0,0,2.9003671286564705,3.111415279495359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(18,[1,5],[1.0,3.111415279495359])"
1,CA_1,FOODS_1,2011,2,2160,648,3.819214799882384,3.0981611379124065,0,2.9003671286564705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(18,[1,3,5,6],[2.0,648.0,3.0981611379124065,2.9003671286564705])"
2,CA_1,FOODS_1,2011,3,2160,864,3.84210976344061,3.0908092869856625,0,3.819214799882384,2.9003671286564705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(18,[1,3,5,6,7],[3.0,864.0,3.0908092869856625,3.819214799882384,2.9003671286564705])"
3,CA_1,FOODS_1,2011,4,2160,432,3.7409150764812824,3.0771669729987456,216,3.84210976344061,3.819214799882384,2.9003671286564705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(18,[1,3,4,5,6,7,8],[4.0,432.0,216.0,3.0771669729987456,3.84210976344061,3.819214799882384,2.9003671286564705])"
4,CA_1,FOODS_1,2011,5,2160,864,3.745777217889759,3.081973107402942,0,3.7409150764812824,3.84210976344061,3.819214799882384,2.9003671286564705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(18,[1,3,5,6,7,8,9],[5.0,864.0,3.081973107402942,3.7409150764812824,3.84210976344061,3.819214799882384,2.9003671286564705])"
5,CA_1,FOODS_1,2011,6,2160,432,3.798028793404073,3.117529458142455,0,3.745777217889759,3.7409150764812824,3.84210976344061,3.819214799882384,2.9003671286564705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(18,[1,3,5,6,7,8,9,10],[6.0,432.0,3.117529458142455,3.745777217889759,3.7409150764812824,3.84210976344061,3.819214799882384,2.9003671286564705])"
6,CA_1,FOODS_1,2011,7,2160,216,3.827756862978617,3.130707014755778,0,3.798028793404073,3.745777217889759,3.7409150764812824,3.84210976344061,3.819214799882384,2.9003671286564705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(18,[1,3,5,6,7,8,9,10,11],[7.0,216.0,3.130707014755778,3.798028793404073,3.745777217889759,3.7409150764812824,3.84210976344061,3.819214799882384,2.9003671286564705])"
7,CA_1,FOODS_1,2011,8,2160,432,3.7623033632877685,3.1849978839364983,0,3.827756862978617,3.798028793404073,3.745777217889759,3.7409150764812824,3.84210976344061,3.819214799882384,2.9003671286564705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(18,[1,3,5,6,7,8,9,10,11,12],[8.0,432.0,3.1849978839364983,3.827756862978617,3.798028793404073,3.745777217889759,3.7409150764812824,3.84210976344061,3.819214799882384,2.9003671286564705])"
8,CA_1,FOODS_1,2011,9,2160,216,3.747411807886423,3.209923560957601,0,3.7623033632877685,3.827756862978617,3.798028793404073,3.745777217889759,3.7409150764812824,3.84210976344061,3.819214799882384,2.9003671286564705,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0,9.0,0.0,216.0,0.0,3.209923560957601,3.7623033632877685,3.827756862978617,3.798028793404073,3.745777217889759,3.7409150764812824,3.84210976344061,3.819214799882384,2.9003671286564705,0.0,0.0,0.0,0.0]"
9,CA_1,FOODS_1,2011,10,2160,432,3.817631467190515,3.2138677205081394,0,3.747411807886423,3.7623033632877685,3.827756862978617,3.798028793404073,3.745777217889759,3.7409150764812824,3.84210976344061,3.819214799882384,2.9003671286564705,0.0,0.0,0.0,0.0,0.0,"[0.0,10.0,0.0,432.0,0.0,3.2138677205081394,3.747411807886423,3.7623033632877685,3.827756862978617,3.798028793404073,3.745777217889759,3.7409150764812824,3.84210976344061,3.819214799882384,2.9003671286564705,0.0,0.0,0.0]"
